adversary_attorney_id,display_firm_name,firm_name,address_line_1,address_line_2,city,state,zip,phone,fax,email,search_text,active
law_offices_of_eileen_hopkins,Law Offices of Eileen Hopkins,Law Offices of Eileen Hopkins,2 Huntington Quadrangle,Suite 1N01,Melville,NY,11747,,,,Law Offices of Eileen Hopkins | 2 Huntington Quadrangle | Suite 1N01 | Melville | NY | 11747,true
law_offices_of_richard_schoenberg,Law Offices of Richard Schoenberg,Law Offices of Richard Schoenberg,1055 Franklin Avenue,Suite 204,Garden City,NY,11530,(516) 877-5600,,,Law Offices of Richard Schoenberg | 1055 Franklin Avenue | Suite 204 | Garden City | NY | 11530 | (516) 877-5600,true
mcdonnell_adels_klestzick_pllc,"McDonnell Adels & Klestzick, PLLC","McDonnell Adels & Klestzick, PLLC",401 Franklin Avenue,,Garden City,NY,11530,(516) 328-3500,,,"McDonnell Adels & Klestzick, PLLC | 401 Franklin Avenue | Garden City | NY | 11530 | (516) 328-3500",true
law_offices_of_daniel_j_tucker,Law Offices of Daniel J. Tucker,Law Offices of Daniel J. Tucker,5 Broadway,,Freeport,NY,11520,(212) 857-8200,(212) 857-8219,,Law Offices of Daniel J. Tucker | 5 Broadway | Freeport | NY | 11520 | (212) 857-8200 | (212) 857-8219,true
the_law_office_of_rae_l_voss,The Law Office of Rae L. Voss,The Law Office of Rae L. Voss,3 Dakota Drive,Suite 201,North New Hyde Park,NY,11042,,,,The Law Office of Rae L. Voss | 3 Dakota Drive | Suite 201 | North New Hyde Park | NY | 11042 | Law Offices of Rae L. Voss,true
law_offices_of_tina_newsome_lee,Law Offices of Tina Newsome-Lee,Law Offices of Tina Newsome-Lee,P.O. Box 2904,,Hartford,CT,06104-2904,(631) 577-7770,,,Law Offices of Tina Newsome-Lee | P.O. Box 2904 | Hartford | CT | 06104-2904 | (631) 577-7770,true
martyn_smith_murray_yong_esqs,"Martyn, Smith, Murray & Yong, Esqs.","Martyn, Smith, Murray & Yong, Esqs.",P.O. Box 6836,,Scranton,PA,18505-6836,,,,"Martyn, Smith, Murray & Yong, Esqs. | P.O. Box 6836 | Scranton | PA | 18505-6836 | Martyn, Smith, Murray & Yong",true
rossillo_licata_p_c,"Rossillo & Licata, P.C.","Rossillo & Licata, P.C.",355 Post Avenue,Suite 204,Westbury,NY,11590,(516) 746-7780,(516) 746-7717,,"Rossillo & Licata, P.C. | 355 Post Avenue | Suite 204 | Westbury | NY | 11590 | (516) 746-7780 | (516) 746-7717",true
gullo_associates_llc,"Gullo & Associates, LLC","Gullo & Associates, LLC",1265 Richmond Avenue,,Staten Island,NY,10314,(718) 238-9555,(718) 238-9552,,"Gullo & Associates, LLC | 1265 Richmond Avenue | Staten Island | NY | 10314 | (718) 238-9555 | (718) 238-9552",true
merani_kamara_law_group,"Merani Kamara Law Group / Peter C. Merani, P.C. Attorneys at Law","Merani Kamara Law Group / Peter C. Merani, P.C. Attorneys at Law",1001 Avenue Of The Americas,Suite 1800,New York,NY,10018,,,,"Merani Kamara Law Group / Peter C. Merani, P.C. Attorneys at Law | Merani Kamara Law Group | 1001 Avenue Of The Americas | Suite 1800 | New York | NY | 10018 | P.C.",true
