displayName,rows,variants
Law Offices of Perry & Frankson,10659,1
Law Offices of John Trop,10040,2
Law Office of Karen L. Lawrence,6718,3
Martyn & Martyn,5805,5
Law Offices of James F. Butler & Associates,723,2
"Miranda Sokoloff Sambursky Slone Verveniotis, LLP",477,1
"Correia, Conway & Stiefeld",305,1
Law Offices of Rubin & Nazarian,284,1
"Law Office of Buratti, Rothenberg & Burns",200,1
"Rivkin Radler, LLP",192,2
"Foley, Smit, O'Boyle & Weisman",185,2
"Rubin, Fiorella & Friedman, LLP",172,2
"Robyn M. Brilliant, P.C.",153,1
Law Office Of Leigh J. Katz & Associates,87,2
"Law Office of Lawrence N. Rogak, LLC",76,3
Law Office of Printz & Goldstein,72,1
Murphy Sanchez PLLC,61,1
Subin Associates,50,1
Krawitz Stephen ESQ,49,1
Bruno Gerbino Soriano & Aitken,48,1
Weser & Weser,38,1
Hurwitz Fine P.C.,34,1
Lewis Brisbois Bisgaard & Smith LLP,31,1
Law Offices of Bobbi  J Vilacha,31,2
