displayName,rows,variants
Goldstein Flecker & Hopkins,19891,5
Law Offices of Perry & Frankson,10659,1
Law Offices of John Trop,10040,2
Law Office of Karen L. Lawrence,6718,3
Martyn & Martyn,5805,5
Law Offices of James F. Butler & Associates,723,2
"Miranda Sokoloff Sambursky Slone Verveniotis, LLP",477,1
"Correia, Conway & Stiefeld",305,1
Law Offices of Rubin & Nazarian,284,1
"Law Office of Buratti, Rothenberg & Burns",200,1
"Rivkin Radler, LLP",192,2
"Foley, Smit, O'Boyle & Weisman",185,2
"Rubin, Fiorella & Friedman, LLP",172,2
"Robyn M. Brilliant, P.C.",153,1
Law Office Of Leigh J. Katz & Associates,87,2
"Law Office of Lawrence N. Rogak, LLC",76,3
Law Office of Printz & Goldstein,72,1
Murphy Sanchez PLLC,61,1
Subin Associates,50,1
Krawitz Stephen ESQ,49,1
Bruno Gerbino Soriano & Aitken,48,1
Weser & Weser,38,1
Hurwitz Fine P.C.,34,1
Lewis Brisbois Bisgaard & Smith LLP,31,1
Law Offices of Bobbi  J Vilacha,31,2
"Pena & Kahn, PLLC",26,3
Law Office Of Kevin J. Philbin,25,1
"Jaffe & Koumourdas, LLP",23,2
"Harris, Keenan & Goldfarb",21,1
"Elefterakis, Elefterakis, & Panek",18,2
Law Offices Of Kristen Black Degnan,16,1
"Law Office Of Eli Shmulik, P.C.",14,1
"Sobo & Sobo, LLP",14,1
Jones Jones LLC,13,1
"Raphaelson & Levine Law Firm, P.C.",13,1
Sherri Benmorits ESQ.,13,1
Traub Lieberman Straus & Shrewsberry LLP,13,1
"Evans D. Prieston, PC",11,1
Olga Hopkins Murray,11,1
"Barenbaum,bryan",10,1
Claudia P. Lovas & Associates,10,1
"David Resnick & Associates, P.C.",10,1
"Kantaria Law, PLLC",10,1
"Zaremba Brown, PLLC",10,1
William Schwitzer & Associates-,10,2
Bruce Somerstein & Associates,9,1
Gray Law Firm PLLC,9,1
Robert Hyams,9,1
Law Office of Aloy O. Ibuzor,9,2
Law Office Of Boris H. Linares,8,1
Macaluso & Fafinski,8,1
