displayName,aliases,active,notes
Law Offices of Eileen Hopkins,"Goldstein & Hopkins;LAW OFFICES OF GOLDSTEIN & FLECKER;Law office of Goldstein & Hopkins;LAW OFFICE OF GOLDSTEIN, FLECKER AND HOPKINS;Law Office of Goldstein, Flecker & Holler",TRUE,"existing → adversary_attorney; 5 src variants, 19,891 rows, 5 aliases"
Law Offices of Perry & Frankson,The Law Offices of Perry and Frankson,TRUE,"NEW firm; 1 src variants, 10,659 rows, 1 aliases"
Law Offices of John Trop,LAW OFFICE OF JOHN TROP,TRUE,"NEW firm; 2 src variants, 10,040 rows, 1 aliases"
Law Office of Karen L. Lawrence,Law office of Karen Lawrence (Non-Suffolk);Law office of Karen Lawrence (Suffolk),TRUE,"NEW firm; 3 src variants, 6,718 rows, 2 aliases"
Martyn & Martyn,"MARTYN, TOHER&  MARTYN;MARTYN AND MARTYN - LIBERTY MUTUAL;MARTYN, TOHER & MARTYN - LIBERTY MUTUAL",TRUE,"NEW firm; 5 src variants, 5,805 rows, 3 aliases"
The Law Office of Rae L. Voss,,TRUE,"existing → adversary_attorney; 1 src variants, 4,802 rows, 0 aliases"
Law Offices of Daniel J. Tucker,LAW OFFICE OF DANIEL J. TUCKER;LAW OFFICES OF DANIEL J. TUCKER(NYC Cases),TRUE,"existing → adversary_attorney; 3 src variants, 4,040 rows, 2 aliases"
"Rossillo & Licata, P.C.",,TRUE,"existing → adversary_attorney; 1 src variants, 3,775 rows, 0 aliases"
"Martyn, Smith, Murray & Yong, Esqs.",,TRUE,"existing → adversary_attorney; 1 src variants, 2,578 rows, 0 aliases"
"Freiberg, Peck & Kang, LLP","FREIBERG, PECK & KANG, LLP (NON-PROGRESSIVE)",TRUE,"existing → adversary_attorney; 2 src variants, 2,386 rows, 1 aliases"
"McCormack, Mattei & Holler","MCCORMICK & MATTEI;McCORMACK , MATTEI & HOLLER - PROGRESSIVE",TRUE,"existing → adversary_attorney; 3 src variants, 1,608 rows, 2 aliases"
Law Offices of Tina Newsome-Lee,,TRUE,"existing → adversary_attorney; 1 src variants, 1,551 rows, 0 aliases"
Law Offices of Richard Schoenberg,,TRUE,"existing → adversary_attorney; 1 src variants, 1,532 rows, 0 aliases"
"Law Offices of James F. Sullivan, P.C.",LAW OFFICE OF JAMES F.SULLIVAN,TRUE,"existing → adversary_attorney; 3 src variants, 821 rows, 1 aliases"
"Abrams, Cohen & Associates, P.C.","ABRAMS,COHEN & ASSOCIATES;ABRAHAM COHEN AND ASSOCIATES",TRUE,"existing → adversary_attorney; 3 src variants, 735 rows, 2 aliases"
"Jaffe & Velazquez, LLP",Jaffe & Velazquez,TRUE,"existing → adversary_attorney; 2 src variants, 734 rows, 1 aliases"
Law Offices of James F. Butler & Associates,JAMES F.BUTLER & ASSOCIATES,TRUE,"NEW firm; 2 src variants, 723 rows, 1 aliases"
Law Offices of Ruth Nazarian,LAW OFFICES OF RUBIN & NAZARIAN,TRUE,"existing → adversary_attorney; 2 src variants, 577 rows, 1 aliases"
"De Martini & Yi, LLP",,TRUE,"existing → adversary_attorney; 1 src variants, 571 rows, 0 aliases"
"Hollander Legal Group, P.C.",,TRUE,"existing → adversary_attorney; 1 src variants, 567 rows, 0 aliases"
"Marshall Dennehey, P.C.","MARSHALL, DENNEHEY WARNER, COLEMAN & GOGGIN",TRUE,"existing → adversary_attorney; 3 src variants, 564 rows, 1 aliases"
"Miranda Sokoloff Sambursky Slone Verveniotis, LLP",,TRUE,"NEW firm; 1 src variants, 477 rows, 0 aliases"
Law Offices of Rothenberg & Romanek,,TRUE,"existing → adversary_attorney; 1 src variants, 471 rows, 0 aliases"
"Gullo & Associates, LLC","GULLO & ASSOCIATES, LLP.,",TRUE,"existing → adversary_attorney; 3 src variants, 425 rows, 1 aliases"
"Merani Kamara Law Group / Peter C. Merani, P.C. Attorneys at Law","LAW OFFICES OF PETER C. MERANI, ESQ (ALLSTATE);MERANI KAMARA LAW GROUP;LAW OFFICES OF PETER C. MERANI, P.C.;LAW OFFICES OF PETER C. MERANI, ESQ",TRUE,"existing → adversary_attorney; 4 src variants, 347 rows, 4 aliases"
Law Offices of Brian Rayhill,,TRUE,"existing → adversary_attorney; 1 src variants, 323 rows, 0 aliases"
"Correia, Conway & Stiefeld",,TRUE,"NEW firm; 1 src variants, 305 rows, 0 aliases"
Abrams Fensterman LLP,,TRUE,"existing → adversary_attorney; 1 src variants, 263 rows, 0 aliases"
"Marshall & Marshall, PLLC","Marshall & Marshall;MARSHALL & MARSHALL, ESQS.",TRUE,"existing → adversary_attorney; 2 src variants, 247 rows, 2 aliases"
Sarah C. Varghese & Associates,Sarah C. Varghese,TRUE,"existing → adversary_attorney; 2 src variants, 226 rows, 1 aliases"
"Law Office of Jason Tenenbaum, P.C.",LAW OFFICE OF JASON TENENBAUM,TRUE,"existing → adversary_attorney; 1 src variants, 205 rows, 1 aliases"
"Law Office of Buratti, Rothenberg & Burns",,TRUE,"NEW firm; 1 src variants, 200 rows, 0 aliases"
"Rivkin Radler, LLP",,TRUE,"NEW firm; 2 src variants, 192 rows, 0 aliases"
"Foley, Smit, O'Boyle & Weisman","LAW OFFICES OF FOLEY,SMIT,O'BOYLE & WEISMAN",TRUE,"NEW firm; 2 src variants, 185 rows, 1 aliases"
"Rubin, Fiorella & Friedman, LLP","RUBIN, FIORELLA & FRIEDMAN & MERCANTE LLP",TRUE,"NEW firm; 2 src variants, 172 rows, 1 aliases"
"Robyn M. Brilliant, P.C.",,TRUE,"NEW firm; 1 src variants, 153 rows, 0 aliases"
"Nightingale Law, P.C.","MICHAEL S. NIGHTINGALE, ESQ.",TRUE,"existing → adversary_attorney; 1 src variants, 135 rows, 1 aliases"
