nf_value,count,canonical,kind
GEICO INSURANCE COMPANY,17719,Government Employees Insurance Company,brand-generic -> flagship
STATE FARM INSURANCE COMPANY,5584,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
PROGRESSIVE INSURANCE COMPANY,4989,Progressive Casualty Insurance Company,brand-generic -> flagship
GEICO INS,3607,Government Employees Insurance Company,brand-generic -> flagship
GEICO,3530,Government Employees Insurance Company,brand-generic -> flagship
STATE FARM INSURANCE,3287,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
MVAIC,3226,Motor Vehicle Accident Indemnification Corporation,curated (+MVIAC typo)
STATE FARM,2811,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
PROGRESSIVE,2159,Progressive Casualty Insurance Company,brand-generic -> flagship
GEICO INS NYPIP,2070,Government Employees Insurance Company,brand-generic -> flagship
GEICO NEW YORK,1960,Government Employees Insurance Company,brand-generic -> flagship
TRAVELERS PROPERTY AND CASUALTY COMPANY,1496,Travelers Property Casualty Company of America,brand-generic -> flagship
LIBERTY MUTUAL INSURANCE,1437,Liberty Mutual Insurance Company,brand-generic -> flagship
USAA,896,USAA Casualty Insurance Company,brand-generic -> flagship
ALLSTATE FIRE CASUALTY INSURANCE COMPANY,732,Allstate Insurance Company,brand-generic -> flagship
ALLSTATE,650,Allstate Insurance Company,brand-generic -> flagship
SAFECO INSURANCE COMPANY,603,Safeco National Insurance Company,brand-generic -> flagship
NATIONWIDE INSURANCE COMPANY,596,Nationwide Property and Casualty Insurance Company,brand-generic -> flagship
USAA INSURANCE COMPANY,596,USAA Casualty Insurance Company,brand-generic -> flagship
TRAVELERS INSURANCE,590,Travelers Property Casualty Company of America,brand-generic -> flagship
GEICO INSURANCE,588,Government Employees Insurance Company,brand-generic -> flagship
TRAVELERS INSURANCE COMPANY,502,Travelers Property Casualty Company of America,brand-generic -> flagship
FARMERS INSURANCE COMPANY,465,Farmers Property and Casualty Insurance Company,brand-generic -> flagship
ALLSTATE (NF),449,Allstate Insurance Company,brand-generic -> flagship
ALLSTATE INSURANCE,357,Allstate Insurance Company,brand-generic -> flagship
STATE FARM INS-NF,337,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
INTEGON NATIONAL INS,319,National General Insurance Company,brand-generic -> flagship
