nf_value,count,tier,matched_canonical,brand,lev
GOVERNMENT EMPLOYEES INSURANCE COMPANY,50728,exact,Government Employees Insurance Company,,0
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,31633,exact,State Farm Mutual Automobile Insurance Company,,0
ALLSTATE INSURANCE COMPANY,22923,exact,Allstate Insurance Company,,0
PROGRESSIVE CASUALTY INSURANCE COMPANY,18944,exact,Progressive Casualty Insurance Company,,0
LIBERTY MUTUAL INSURANCE COMPANY,11612,exact,Liberty Mutual Insurance Company,,0
AMERICAN TRANSIT INSURANCE COMPANY,7360,exact,American Transit Insurance Company,,0
NATIONWIDE PROPERTY AND CASUALTY INSURANCE COMPANY,3792,exact,Nationwide Property and Casualty Insurance Company,,0
SAFECO NATIONAL INSURANCE COMPANY,2685,exact,Safeco National Insurance Company,,0
Liberty Mutual Insurance Company,2590,exact,Liberty Mutual Insurance Company,,0
INTEGON NATIONAL INSURANCE COMPANY,2538,exact,Integon National Insurance Company,,0
HEREFORD INSURANCE COMPANY,2440,exact,Hereford Insurance Company,,0
ESURANCE INSURANCE COMPANY,2371,exact,Esurance Insurance Company,,0
INTEGON CASUALTY INSURANCE COMPANY,1836,exact,Integon Casualty Insurance Company,,0
ELRAC INC D/B/A ENTERPRISE RENT A CAR,1592,exact,"Elrac, Inc. d/b/a Enterprise Rent a Car",,0
TRAVELERS PROPERTY CASUALTY INSURANCE COMPANY,1537,exact,Travelers Property Casualty Insurance Company,,0
USAA CASUALTY INSURANCE COMPANY,1438,exact,USAA Casualty Insurance Company,,0
NATIONAL GENERAL INSURANCE COMPANY,1411,exact,National General Insurance Company,,0
HARTFORD ACCIDENT AND INDEMNITY COMPANY,1160,exact,Hartford Accident and Indemnity Company,,0
NATIONAL GENERAL ASSURANCE COMPANY,1078,exact,National General Assurance Company,,0
NEW YORK CENTRAL MUTUAL FIRE INSURANCE COMPANY,942,exact,New York Central Mutual Fire Insurance Company,,0
ERIE INSURANCE COMPANY,759,exact,Erie Insurance Company,,0
ALLSTATE FIRE AND CASUALTY INSURANCE COMPANY,757,exact,Allstate Fire and Casualty Insurance Company,,0
FARMERS NEW CENTURY INSURANCE COMPANY,676,exact,Farmers New Century Insurance Company,,0
PLYMOUTH ROCK ASSURANCE PREFERRED CORPORATION,662,exact,Plymouth Rock Assurance Preferred Corporation,,0
AFFIRMATIVE DIRECT INSURANCE COMPANY,624,exact,Affirmative Direct Insurance Company,,0
21ST CENTURY CENTENNIAL INSURANCE COMPANY,585,exact,21st Century Centennial Insurance Company,,0
UTICA MUTUAL INSURANCE COMPANY,540,exact,Utica Mutual Insurance Company,,0
LIBERTY MUTUAL FIRE INSURANCE COMPANY,532,exact,Liberty Mutual Fire Insurance Company,,0
NEW YORK CITY TRANSIT AUTHORITY,514,exact,New York City Transit Authority,,0
NYC TRANSIT AUTHORITY,511,exact,NYC Transit Authority,,0
KEMPER INDEPENDENCE INSURANCE COMPANY,497,exact,Kemper Independence Insurance Company,,0
LM GENERAL INSURANCE COMPANY,467,exact,LM General Insurance Company,,0
MAYA ASSURANCE COMPANY,419,exact,Maya Assurance Company,,0
COUNTRY-WIDE INSURANCE COMPANY,360,exact,Country-Wide Insurance Company,,0
ENCOMPASS PROPERTY AND CASUALTY COMPANY,359,exact,Encompass Property and Casualty Company,,0
AMERICAN STATES INSURANCE COMPANY,337,exact,American States Insurance Company,,0
STATE FARM FIRE AND CASUALTY COMPANY,329,exact,State Farm Fire and Casualty Company,,0
PLYMOUTH ROCK ASSURANCE CORPORATION OF NEW YORK,315,exact,Plymouth Rock Assurance Corporation of New York,,0
