nf_value,count
ASSIGNED RISK SOLUTIONS,174
Komodo Claims,111
NATIONAL INSURANCE COMPANY,107
Genoteq Insurance company,105
THE GENERAL INSURANCE COMPANY,80
ADIRONDACK INSURANCE EXCHANGE,76
First Acceptance Insurance Company,71
ADIRONDACK INSURANCE COMAPNY,62
GENOTEQ CLAIM SERVICE,61
GOOD TO GO AUTO INSURANCE,59
SAFE AUTO,58
Global Liberty Insurance Company,51
CURE AUTO INS,50
NYC HOUSING AUTHORITY C/O UNITED CLAIM SERVICES,45
AAA INSURANCE COMPANY,44
AMERICAN COUNTRY INSURANCE COMPANY,43
UTICA INSURANCE CO.,42
Peak Property and Casualty Insurance Corp,41
HEREFORD AUTO INSURANCE COMPANY,40
AMERICAN ACCESS CASUALTY CO,40
MGA INSURANCE COMPANY,38
CHUBB INSURANCE COMPANY,38
AMERICAN MODERN SELECT INSURANCE COMPANY,38
NY MARINE AND GENERAL INSURANCE COMPANY,37
NJM INSURANCE GROUP,37
AMERICAN COUNTRY INS,37
GOVERMENT EMPLOYEES INSURANCE CO,37
UTICA NATIONAL INSURANCE COMPANY,37
MERCHANTS INSURANCE COMPANY,37
OMNI INSURANCE COMPANY,37
HERTZ VEHICLES LLC,36
MEDLOGIX,34
Auto Club Country Mutual Insurance Company,33
WRIGHT RISK MANAGEMENT,29
AMERICAN NATIONAL INSURANCE COMPANY,29
FIRST ACCEPTANCE INSURANCE,29
CLAIMS SERVICE BUREAU OF NEW YORK,29
AUTO OWNERS INS CO,27
SEDGEWICK,25
DIRECT GENERAL INSURANCE COMPANY,25
HAGERTY INSURANCE COMPANY,25
GALLAGHER & BASSETT,25
Risk Placement Services,25
NETWORK ADJUSTERS,24
GLOBAL LIBERTY,24
DIRECT AUTO,23
FIDUCIARY INS CO OF AMERICA,23
SAFE AUTO INSURANCE COMPANY,23
AMERICAN FAMILY INSURANCE CO,23
UTICA NATIONAL INS.,23
CHURCH MUTUAL INS,23
INSHUR INSURANCE COMPANY,22
ABRAMS & FENSTERMAN NY CLAIMS,22
ENCOMPASS INSURANCE COMPANY,22
NATIONAL LIABILITY AND FIRE INS C/O ASSIGNED RISK SOLUTIONS,22
MICHIGAN MILLIER MUTUAL INSURANCE COMPANY,22
INSHUR INS,21
SEDWICK CLAIMS MANAG,21
AMERICAN STATES,21
PHILADELPHIA  INDEMNITY INSURANCE,21
PARK INSURANCE COMPANY,20
"ABRAMS, FENSTERMAN, EISMAN, FORNATO",20
NATIONAL DOCUMENT CENTER INSURANCE CO.,20
OLD REPUBLIC INSURANCE,19
GARRISON PROPERTY AND CASUALITY INSURANCE COMPANY,19
UNITED AUTOMOBILE INSURANCE COMPANY,19
GAINSCO AUTO INSURANCE COMPANY,19
STATE AUTO INSURANCE COMPANY,19
FARM FAMILY MUTUAL INSURANCE CO.,19
GLACIER BAY,18
PMA INSURANCE COMPANY,17
MAYA ASSURANCE INSURANCE COMPANY,17
ATLANTIC CASUALTY INSURANCE,17
Tri Star Risk Management Clinton 52733 IA,17
NEW JERSEY MANUFACTU,16
PROSIGHT SPECIALTY I,16
SAFETY NATIONAL CASUALTY,16
A. CENTRAL INSURANCE COMPANY,16
SAFE AUTO INS.,16
DIRECT AUTO INSURANCE,16
NORTH AMERICAN RISK,16
ACE INSURANCE COMPANY,15
NATIONAL LIBERTY AND FIRE INSURANCE COMPANY,15
ELCO,15
BUDGET RENT A CAR CLAIMS DEPARTMENT,15
NATIONAL LIABILITY INSURANCE COMPANY,14
TRISTATE INSURANCE COMPANY,14
Midvale Insurance Company,14
GALLAGHER BASSETT INSURANCE COMPANY WC,14
PRIVILEGE UNDERWRITERS,14
AMICA INSURANCE,13
CNA INSURANCE COMPANY,13
ENCOMPASS INSURANCE,13
Prosight Specialty Insurance,13
GALLAGHER BASSETT SERVICES,13
NY CENTRAL MUTUAL INS.,13
ABI BUSINESS INSURANCE COMPANY,13
NEW YORK BLACK CAR FUND,13
ZURICH,12
TRISTATE CONSUMER INSURANCE COMPANY,12
LANCER INSURANCE,12
COURIER CAR RENTAL,12
ERIE INSURANCE GROUP,12
CITY OF NEW YORK,12
HERTZ INSURANCE COMPANY,12
Cover Me Insurance,12
SAFETY INSURANCE COMPANY,12
NEW YORK CENTRAL INSURANCE COMPANY,12
NYS Worker''s Compensation Board 100 Broadway Albany 12241 NY,11
PURE INSURANCE COMPANY,11
CENTRAL INSURANCE COMPANY,11
MAYA INSURANCE COMPANY,11
NYCM Insurance,11
American Business Insurance,11
U-HAUL COMPANY C/O REPWEST INSURANCE COMPANY,11
PHILADELPHIA INSURANCE COMPANY,11
TRANSIT GENERAL INSURANCE COMPANY,11
MAIDSTONE INSURANCE,10
EAN HOLDINGS LLC.,10
MAIN STREET AMERICAN INSURANCE COMPANY,10
WASHINGTON INTERNATIONAL INSURANCE COMPANY,10
ZURICH INSURANCE COMPANY,10
SAFCO INSURANCE COMPANY,10
MAIN STREET AMERICA,10
PEARL HOLDING GROUP,10
BROADSPIRE (WC),10
CARDINAL CLAIM SERVICE INC,10
Assurance America Insurance Company,10
ASSURANCE AMERICA INSURANCE,9
RENTAL CLAIM SERVICES,9
NYSIF,9
ESURANCE,9
ARBELLA INS GROUP,9
AMERICAN ACCESS CASUALTY INSURANCE COMPANY,9
Adirondack Insurance Exchange,9
AFFIRMATIVE INSURANCE COMPANY,9
Palisades Safety & Insurance Association,9
DAVIES CLAIMS SOLUTIONS,9
CNA CONTINENTAL CASUALTY,9
UTICA NATIONAL,8
GERBER & GERBER,8
GUIDE ONE INSURANCE,8
CHARTER OAK FIRE INSURANCE,8
GENOTEQ CLAIMS INVESTIGATIONS,8
GALLAGHER BASSETT SERVICES C/O XL INSURANCE AMERICA,8
COUNTRYWAY-PERSONAL INSURANCE COMPANY,8
The General Automobile Insurance Company,8
ELCO INSURANCE,7
EVEREADY INSURANCE COMPANY,7
ELECTRIC INSURANCE COMPANY,7
