displayName,aliases,active,notes
Anesthesia,"Anesthesia, Pain-Management;ANESTHESIA, PAIN-MANAGEMENT;AMBULANCE, ANESTHESIA",,existing (caps normalized); +3 aliases
Chiropractic,"CH;Chiro;CHIROPRACTIC , PHYSICAL THERAPY;Chiro Treatment;CHIROPRACTIC , Decompression;--- Select Sevice Types --- , CH;CHIROPRACTIC , DIAGNOSTIC TESTING;CH, PT;CHIROPRACTIC , OFFICE VISIT, PHYSICAL THERAPY;CHIROPRACTIC , OFFICE VISIT;CH, CHIROPRACTIC;CHIROPRACTIC , EVALUATION;CHIROPRACTIC , EMG/NCV;CHIROPRACTIC , DIAGNOSTIC TESTING, PHYSICAL THERAPY;CHIROPRACTIC , Neuro Testing;Chiro, PHYSICAL THERAPY;Chiro, CHIROPRACTIC;CH, Disability Exam;CHIROPRACTIC , MMT/ROM;CHIROPRACTIC , MEDICAL SUPPLY;CHIROPRACTIC , DIAGNOSTIC TESTING, EVALUATION;Chiro Treatment, CHIROPRACTIC;CHIROPRACTIC , ORTHOPEDIC;CHIROPRACTIC , INJECTTION, OFFICE VISIT;CHIROPRACTIC , NCV/EMG;CHIROPRACTIC , Disability Exam;CHIROPRACTIC , Injections, OFFICE VISIT, PHYSICAL THERAPY;CHIROPRACTIC , DIAGNOSTIC TESTING, OFFICE VISIT;CHIROPRACTIC , Decompression, PHYSICAL THERAPY;CHIROPRACTIC , DIAGNOSTIC TESTING, EMG/NCV, PHYSICAL THERAPY;--- Select Sevice Types --- , CHIROPRACTIC;CHIROPRACTIC , INJECTTION;CHIROPRACTIC , EMG/NCV, EVALUATION;CHIROPRACTIC , NCV/EMG, PHYSICAL THERAPY;Chiro, EMG/NCV, NCV/EMG, NERVE TESTING, Neuro Testing, PHYSICAL THERAPY;Chiro, CHIROPRACTIC , DIAGNOSTIC TESTING, EMG/NCV, PHYSICAL THERAPY;Chiro, OFFICE VISIT;Chiro, OFFICE VISIT, PHYSICAL THERAPY;Chiro, Neuro Testing;CHIROPRACTIC , ROM/MMT;CHIROPRACTIC , MEDICAL SUPPLY, Neuro Testing, PHYSICAL THERAPY;Chiro Initial Visit, CHIROPRACTIC;CHIROPRACTIC , Disability Exam, PHYSICAL THERAPY;--- Select Sevice Types --- , CH, Disability Exam;CH, Unknown;CHIROPRACTIC , DIAGNOSTIC TESTING, NCV/EMG, OFFICE VISIT, PHYSICAL THERAPY;--- Select Sevice Types --- , CHIROPRACTIC , PHYSICAL THERAPY;CHIROPRACTIC , EMG/NCV, MRI;CHIROPRACTIC , Injections, OFFICE VISIT, Ultra Sound;CHIROPRACTIC , Epidural Injections, OFFICE VISIT;CHIROPRACTIC , PHYSICIAN ASST, ROM;CHIROPRACTIC , MEDICAL SUPPLY, OUTPATIENT FACILITY, PHYSICAL THERAPY;CHIROPRACTIC , MEDICAL SUPPLY, PHYSICAL THERAPY;CHIROPRACTIC , NERVE TESTING, PHYSICAL THERAPY;CHIROPRACTIC , INJECTTION, OFFICE VISIT, ORTHOPEDIC , PHYSICAL THERAPY;Chiro Initial Visit;CHIROPRACTIC , INJECTTION, OFFICE VISIT, PHYSICAL THERAPY;CHIROPRACTIC , Injections, OFFICE VISIT;CHIROPRACTIC , OFFICE VISIT, TRIGGER POINT INJECTION, XRAY;CHIROPRACTIC , OFFICE VISIT, Ultra Sound;CHIROPRACTIC , Follow up Visit;CHIROPRACTIC , Injections;Chiro Treatment, CHIROPRACTIC , MEDICAL SUPPLY;CHIROPRACTIC , DIAGNOSTIC TESTING, EVALUATION, PHYSICAL THERAPY;CHIROPRACTIC , DIAGNOSTIC TESTING, EMG/NCV, EVALUATION;CHIROPRACTIC , EMG/NCV, EVALUATION, MEDICAL SUPPLY, OFFICE VISIT;CHIROPRACTIC , EVALUATION, MEDICAL SUPPLY, OFFICE VISIT;CHIROPRACTIC , DIAGNOSTIC TESTING, EVALUATION, MEDICAL SUPPLY, OFFICE VISIT;CHIROPRACTIC , EVALUATION, MEDICAL SUPPLY;CHIROPRACTIC , PHYSICAL THERAPY, XRAY;CHIROPRACTIC , DME, OFFICE VISIT;CHIROPRACTIC , DIAGNOSTIC TESTING, Disability Exam;CHIROPRACTIC , DIAGNOSTIC TESTING, OFFICE VISIT, Ultrasound;CHIROPRACTIC , Neuro Testing, PHYSICAL THERAPY;CHIROPRACTIC , Neuro Testing, OFFICE VISIT, Ultra Sound;CHIROPRACTIC , MEDICAL SUPPLY, OFFICE VISIT, PHYSICAL THERAPY;CHIROPRACTIC , Neuro Testing, OFFICE VISIT;CHIROPRACTIC , EVALUATION, PHYSICAL THERAPY, Ultra Sound;CHIROPRACTIC , Neuro Testing, PHYSICAL THERAPY, Ultra Sound",,existing (caps normalized); +79 aliases
Dental,,,existing (caps normalized); caps only
Disability Exam,"--- Select Sevice Types --- , Disability Exam;Disability Exam, MMT/ROM;Disability Exam, EMG/NCV;Disability Exam, NCV/EMG;Disability Exam, ROM/MMT;Disability Exam, PHYSICAL THERAPY, XRAY;Disability Exam, Neuro Testing, PHYSICAL THERAPY;Disability Exam, PHYSICAL THERAPY;Disability Exam, NERVE TESTING;Disability Exam, OFFICE VISIT;Disability Exam, Ultrasound",,existing (caps normalized); +11 aliases
DME,"MEDICAL SUPPLY;MEDICAL SUPPLY, OFFICE VISIT;MEDICAL SUPPLY, PHYSICAL THERAPY;--- Select Sevice Types --- , DME;DME, MEDICAL SUPPLY;MEDICAL SUPPLY, OUTCOME ASSESSMENT;MEDICAL SUPPLY, OFFICE VISIT, SURGERY;MEDICAL SUPPLY, OFFICE VISIT, PHYSICAL THERAPY, SURGERY;DME, EVALUATION",,existing (caps normalized); +9 aliases
EEG,EEG/Brain Mapping,,existing (caps normalized); +1 aliases
EM Visit-Follow Up,"FOLLOW-UP EVALUATION;Follow up Visit;Follow up Visit, INITIAL VISIT, PHYSICAL THERAPY;FOLLOW-UP EVALUATION, OFFICE VISIT, ORTHO, ORTHOPEDIC;FOLLOW-UP EVALUATION, Injections, INJECTTION, OFFICE VISIT",,existing (caps normalized); +5 aliases
EM Visit-Initial,"OFFICE VISIT;EVALUATION;OFFICE VISIT, PHYSICAL THERAPY;OFFICE VISIT, SURGERY;EVALUATION, OFFICE VISIT;OFFICE VISIT, XRAY;OFFICE VISIT, TRIGGER POINT INJECTION;OFFICE VISIT, OUTPATIENT FACILITY;OFFICE VISIT, Ultra Sound;OFFICE VISIT, Ultrasound;INITIAL VISIT;OFFICE VISIT, Pain Management;OFFICE VISIT, ORTHOPEDIC , PHYSICAL THERAPY;OFFICE VISIT, OUTCOME ASSESSMENT;EVALUATION, PHYSICAL THERAPY;OFFICE VISIT, ORTHOPEDIC;EVALUATION, OFFICE VISIT, PHYSICAL THERAPY;OFFICE VISIT, PHYSICAL THERAPY, Radiological Exam;OFFICE VISIT, PAIN-MANAGEMENT;OFFICE VISIT, PHYSICAL THERAPY, XRAY;OFFICE VISIT, PERFORMANCE TEST, PHYSICAL THERAPY;OFFICE VISIT, SURGERY, XRAY;OFFICE VISIT, SURGERY, Ultrasound;EVALUATION, Injections, OFFICE VISIT;Extracorporeal Shockwave, OFFICE VISIT, PHYSICAL THERAPY;OFFICE VISIT, OTHER;Neurostim Treatment, OFFICE VISIT;INITIAL VISIT, PHYSICAL THERAPY;OFFICE VISIT, PHYSICAL PERFORMANCE TEST;EVALUATION, Follow up Visit, INITIAL VISIT, PHYSICAL THERAPY;OFFICE VISIT, PHYSICAL CAPACITY TESTING, PHYSICAL THERAPY;OFFICE VISIT, ORTHO, ORTHOPEDIC;INITIAL VISIT, OFFICE VISIT;OFFICE VISIT, ORTHOPEDIC , OUTPATIENT FACILITY;OFFICE VISIT, PHYSICAL PERFORMANCE TEST, PHYSICAL THERAPY;OFFICE VISIT, PHYSICAL THERAPY, TRIGGER POINT INJECTION;EVALUATION, FOLLOW-UP EVALUATION, Initial Evaluation;Initial Evaluation, INITIAL VISIT;INITIAL VISIT, Injections, INJECTTION, OFFICE VISIT;OFFICE VISIT, PHYSICAL THERAPY, Ultra Sound;OFFICE VISIT, PERFORMANCE TEST, PHYSICAL PERFORMANCE TEST, PHYSICAL THERAPY;OFFICE VISIT, PERFORMANCE TEST, Ultra Sound;OFFICE VISIT, OUTPATIENT FACILITY, XRAY;OFFICE VISIT, OUTCOME ASSESSMENT, PHYSICAL THERAPY, Radiological Exam, XRAY;OFFICE VISIT, PainManagement;OFFICE VISIT, Radiological Exam;OFFICE VISIT, OUTPATIENT FACILITY, TRIGGER POINT INJECTION, XRAY;OFFICE VISIT, Pain-Management;OFFICE VISIT, OUTPATIENT FACILITY, Pain-Management;OFFICE VISIT, OUTCOME ASSESSMENT, XRAY;INITIAL VISIT, INJECTTION;EVALUATION, Injections;OFFICE VISIT, Unknown;OFFICE VISIT, PHYSICAL THERAPY, SURGERY;EVALUATION, Ultrasound;EVALUATION, Neuro Testing, OFFICE VISIT;EVALUATION, SURGERY, XRAY;EVALUATION, OFFICE VISIT, SURGERY;OFFICE VISIT, PHYSICAL THERAPY, Ultrasound;EVALUATION, Extracorporeal Shockwave, Neuro Testing, OFFICE VISIT;Extracorporeal Shockwave, OFFICE VISIT;EVALUATION, Ultra Sound;BIOFEEDBACK, OFFICE VISIT;BIOFEEDBACK, OFFICE VISIT, PHYSICAL THERAPY;EVALUATION, SURGERY",,existing (caps normalized); +65 aliases
EMG/NCV,"Neuro Testing;NCV/EMG;NERVE TESTING;EMG;pf-NCS;EMG/NCV, OFFICE VISIT;NCV/EMG, PHYSICAL THERAPY;Neuro Testing, PHYSICAL THERAPY;EMG/NCV, PHYSICAL THERAPY;EMG/NCV, OFFICE VISIT, PHYSICAL THERAPY;NCV/EMG, OFFICE VISIT;NERVE TESTING, PHYSICAL THERAPY;MUSCLE TESTING;EMG/NCV, NCV/EMG;EMG/NCV, ROM/MMT;NCV/EMG, OFFICE VISIT, PHYSICAL THERAPY;EMG/NCV, EVALUATION, OFFICE VISIT, PHYSICAL THERAPY;NERVE TESTING, OFFICE VISIT;Neuro Testing, Ultra Sound;NERVE TESTING, OFFICE VISIT, PHYSICAL THERAPY;EMG/NCV, MEDICAL SUPPLY;NCV/EMG, TRIGGER POINT INJECTION;EMG/NCV, MMT/ROM;NCV/EMG, ROM/MMT;EMG/NCV, INJECTTION, OFFICE VISIT;EMG/NCV, MEDICAL SUPPLY, OFFICE VISIT;Neuro Testing, OFFICE VISIT, PHYSICAL THERAPY;Neuro Testing, OFFICE VISIT, PHYSICAL THERAPY, Ultra Sound;EMG/NCV, EVALUATION, PHYSICAL THERAPY;EMG/NCV, MRI, OFFICE VISIT, Ultra Sound;EMG/NCV, Unknown;NERVE TESTING, ORTHOPEDIC , OUTPATIENT FACILITY;EMG/NCV, Neuro Testing, OFFICE VISIT;EMG, PHYSICAL THERAPY;EMG/NCV, Extracorporeal Shockwave, OFFICE VISIT;EMG/NCV, Ultrasound;EMG, INJECTTION;EMG, OFFICE VISIT;EMG, Extracorporeal Shockwave;EMG, EVALUATION, OFFICE VISIT, SURGERY;NERVE TESTING, OFFICE VISIT, Ultrasound",,existing (caps normalized); +41 aliases
Epidural Injection,"Epidural Injections;Epidural Injections, OFFICE VISIT;Epidural Injections, OFFICE VISIT, PHYSICAL THERAPY;Epidural Injections, INJECTTION, OFFICE VISIT;Epidural Injections, Injections;Epidural Injections, Injections, OFFICE VISIT;Epidural Injections, MMT/ROM, OFFICE VISIT;Epidural Injections, INJECTTION;Epidural Injections, OFFICE VISIT, PERFORMANCE TEST, PHYSICAL PERFORMANCE TEST;Epidural Injections, OFFICE VISIT, TRIGGER POINT INJECTION;EPIDURAL L/S",,existing (caps normalized); +11 aliases
Facility Fee,"FACILITY;OUTPATIENT FACILITY;Fecality;OUTPATIENT FACILITY, XRAY",,existing (caps normalized); +4 aliases
Fluoroscopy,"Fluoroscopy, OFFICE VISIT;Fluoroscopy, OFFICE VISIT, PHYSICAL THERAPY",,existing (caps normalized); +2 aliases
MUA,,,existing (caps normalized); caps only
Nerve Block,,,existing (caps normalized); caps only
OT,,,existing (caps normalized); caps only
Outcome Assessment,,,existing (caps normalized); caps only
Pharmacy,Pharmacy/Compound,,existing (caps normalized); +1 aliases
Physical Capacity Testing,"PHYSICAL PERFORMANCE TEST;PHYSICAL PERFORMANCE TEST, PHYSICAL THERAPY;PHYSICAL CAPACITY TESTING, PHYSICAL THERAPY;PHYSICAL PERFORMANCE TEST, PHYSICAL THERAPY, Unknown;PERFORMANCE TEST",,existing (caps normalized); +5 aliases
Psych,Psych Treatment,,existing (caps normalized); +1 aliases
