value,count
FEE SCHEDULE,16570
IME Denial,11554
Fee Schedule,11037
MEDICAL NECESSITY,10983
IME CUTOFF,8653
Fee Schedule Denial,5763
Peer Review,3180
IME No Show,2645
120 DAYS RULE,2532
IME Cut Off,2232
IME CUT OFF,2035
Policy Exhausted,1874
IME CUTOFF GENERAL DENIAL,1477
DUPLICATE,978
No Coverage,862
MEDICAL NECESSITY - IME,804
NEGATIVE IME,673
45 Day Rule,645
45 Days Rule,491
Workers Compensation,480
FEE SCHEDULE - GROUND RULE,463
DUPLICATE PROCEDURE,392
FEE SCHEDULE : FEE SCHEDULE,370
Partially paid but EOR not received,359
MATERIAL MISREPRESENTATION,308
NO COVERAGE - POLICY EXHAUSTED,302
EUO NO-SHOW,291
PPO CONTRACT,253
30 day rule,250
PEER,250
INVESTIGATION PENDING,205
POLICY VIOLATION - IME NO-SHOW,203
No Denial Issued,182
EUO No Show,170
Fraud,168
NOT RELATED TO THE ACCIDENT,162
RVU Cap,160
"FEE SCHEDULE, NEGATIVE IME",158
"FEE SCHEDULE,  Pharma Portion Denied : -, Agreement with carrier",154
12 unit rule,153
"FEE SCHEDULE, IME Denial",149
"FEE SCHEDULE, IME CUTOFF",141
"FEE SCHEDULE, Agreement with carrier",138
Policy Exhausted General Denial,138
"MEDICAL NECESSITY, Policy Exhausted",133
EUO Pending,125
FULLY PAID AS PER EOB,122
POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT,115
Verification Requests,112
NO CAUSAL RELATIONSHIP,109
POLICY VIOLATION - IME NO SHOW,103
"Fee Schedule, Policy Exhausted",102
NO COVERAGE - NOT ELIGIBLE INJURED PERSON,101
"DUPLICATE, FEE SCHEDULE",90
CAUSALITY - NOT RELATED TO THE ACCIDENT,89
Agreement with carrier,87
"FEE SCHEDULE, Peer Review",87
WORKERS COMP.,87
Partially paid but EOR not received : Partially paid but EOR not received,84
INCORRECT CARRIER,83
POLICY EXCLUSION,73
POLICY VIOLATION - 120-DAY RULE,73
"Fee Schedule, IME No Show",71
"Fee Schedule Denial, IME Denial",70
OUTSTANDING VR,64
POLICY VIOLATION - EUO NO-SHOW OF THE PROVIDER,64
NO COVERAGE - IN ELIGIBLE FOR BENEFITS,63
"Fee Schedule Denial, IME CUTOFF",60
"Fee Schedule, MEDICAL NECESSITY",58
IME NO-SHOW,58
"NEGATIVE IME, PEER",56
IME,53
"FEE SCHEDULE, No Coverage",50
POLICY VIOLATION,49
"FEE SCHEDULE, PEER",48
MEDICAL NECESSITY - PEER REVIEW,48
"FEE SCHEDULE, NEGATIVE IME, PEER",45
"Fee Schedule,  IME Denial",44
"FEE SCHEDULE, IME CUT OFF",44
NOT ELIGIBLE FOR BENEFITS,44
"FEE SCHEDULE, Policy Exhausted",43
EUO CUT OFF,42
MEDICALLY UNNECESSARY,42
"FEE SCHEDULE, Pharma Portion Denied : -",41
"Agreement with carrier, FEE SCHEDULE : FEE SCHEDULE",39
DEDUCTIBLE,39
Denied,39
"Fee Schedule,    Fee Schedule",39
"FEE SCHEDULE, IME No Show",39
EUO DENIAL,38
INVESTIGATION,38
Pharma Portion Denied : -,38
"Pharma Portion Denied : -, Agreement with carrier",37
"IME CUTOFF, IME Denial",36
NO COVERAGE - MOTOR CYCLE ACCIDENT,34
NO COVERAGE - POLICY EXCLUSION,34
"Pharma Portion Denied : -, Agreement with carrier, FEE SCHEDULE : FEE SCHEDULE",34
Fully paid as per EOB-Confirm with provider,33
POLICY CANCELLED,33
EXCESSIVE TREATMENT,32
FEE SCHEDULE - DUPLICATE,32
"IME Denial, IME Denial",30
INELIGIBLE FOR BENEFITS,29
Not an Eligible Injured Person,29
COMPLIANCE - 30-DAY RULE,27
"DUPLICATE PROCEDURE, FEE SCHEDULE",27
"IME Denial, Peer Review",27
"IME No Show, POLICY VIOLATION",27
"FEE SCHEDULE,  Pharma Portion Denied : -, Pharma Portion Denied : -",26
"Fee Schedule, FEE SCHEDULE",26
"Fee Schedule Denial, No Denial Issued",24
"IME CUTOFF GENERAL DENIAL, Policy Exhausted General Denial",24
"IME CUTOFF, Peer Review",24
"IME No Show, MEDICAL NECESSITY",24
"Coventry Contract, RVU Cap",23
INCORRECT CLAIM NUMBER,23
"Fee Schedule, 12 unit rule",22
"IME Cut Off,  IME CUTOFF",22
"IME Denial, 12 unit rule",22
MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION,22
NO CASUAL RELATIONSHIP,21
"Fee Schedule Denial, Peer Review",20
"PPO CONTRACT, RVU Cap",20
Coventry Contract,19
"IME CUTOFF, Policy Exhausted",19
"120 DAYS RULE, DUPLICATE PROCEDURE",18
"FEE SCHEDULE,  Pharma Portion Denied : -",18
"IME CUTOFF, 12 unit rule",18
"Fee Schedule,  Pharma Portion Denied : -",17
PROCEDURE CODE BILLED INVALID,17
VERIFICATION REQUEST,17
"45 Day Rule, FEE SCHEDULE",16
"Fee Schedule,  IME CUTOFF",16
FULLY PAID AS PER EOB : FULLY PAID AS PER EOB,16
"IME CUTOFF, No Denial Issued",16
"IME Denial, MEDICALLY UNNECESSARY",16
"IME No Show, IME No Show",16
No Policy In Effect,16
"120 DAYS RULE, IME Denial",15
"DUPLICATE, MEDICAL NECESSITY - IME",15
"FEE SCHEDULE - GROUND RULE, RVU Cap",15
non-cooperation,15
PAYMENT PER DENIAL - CONFIRM WITH CLIENT,15
POLICY VIOLATION - NON-COOPERATION,15
"120 DAYS RULE, FEE SCHEDULE",14
CAUSALITY - NO CAUSAL RELATIONSHIP,14
"FEE SCHEDULE, MEDICAL NECESSITY - IME",14
"IME CUTOFF,  IME Denial",14
"IME Denial, FEE SCHEDULE",14
"IME No Show, Policy Exhausted",14
"NEGATIVE IME, No Coverage",14
Deductible Applied,13
"FEE SCHEDULE,  Pharma Portion Denied : -, Pharma P",13
"FEE SCHEDULE, FEE SCHEDULE : FEE SCHEDULE",13
"IME CUT OFF, IME CUTOFF",13
PROCEDURE CODE BILLED INCORRECT,13
"45 Day Rule, Peer Review",12
CPT coding rules,12
"DUPLICATE PROCEDURE, No Coverage",12
"EUO No Show, EUO NO-SHOW",12
"Fee Schedule Denial, IME Denial, Peer Review",12
"Fee Schedule,  IME Cut Off",12
"FEE SCHEDULE, FEE SCHEDULE - GROUND RULE",12
"Fee Schedule, Peer Review",12
NO COVERAGE - INELIGIBLE FOR BENEFITS : NO COVERAGE - INELIGIBLE FOR BENEFITS,12
"Pharma Portion Denied : -, Pharma Portion Denied : -",12
"120 DAYS RULE, Fee Schedule Denial",11
8 Unit Rule Denial,11
"EUO DENIAL, Policy Exhausted",11
"Fee Schedule Denial, IME CUTOFF, No Denial Issued",11
"FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received, Partially paid but EOR not received",11
"FEE SCHEDULE, WORKERS COMP.",11
"FEE SCHEDULE, Workers Compensation",11
"IME Denial, No Denial Issued",11
"IME Denial, Policy Exhausted",11
