displayName,active,aliases,notes,details
AAA- DECISION- DISMISSED WITH PREJUDICE,true,,,
AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,true,,,
DISCONTINUED WITH PREJUDICE,true,,,
MOTION LOSS,true,,,
OUT OF STATE CARRIER,true,,,
PAID (DECISION),true,,,
PAID (FEE SCHEDULE),true,,,
PAID (JUDGMENT),true,,,
PAID (SETTLEMENT),true,,,
PAID (VOLUNTARY),true,,,
PER CLIENT,true,,,
POLICY CANCELLED,true,,,
POLICY EXHAUSTED/NO COVERAGE,true,,,
PPO,true,,,
SOL,true,,,
TRANSFERRED TO LB,true,,,
TRIAL LOSS,true,,,
WORKERS COMPENSATION,true,,,
