value,count
CLOSE FILE - PAID AFTER SETTLEMENT,145769
PAID AND CLOSED,34266
CLOSE FILE - PAID PER FEE SCHEDULE,16057
CLOSE FILE - PAID AFTER DECISION,13709
DISCONTINUED WITH PREJUDICE,10521
CLOSE FILE - PAID AFTER AAA SETTLEMENT,5153
BILLING-PARTIALLY PAID,4718
CLOSE FILE - POLICY EXHAUSTED,4021
CLOSE FILE  - PAID,2761
Discontinued Per Client,2675
TRANSFERRED TO LB,2589
DECISION - TRIAL - LOSS,2400
AAA - DECISION - LOSS,2220
CLOSE FILE - MVIAC NOT QUALIFIED,1853
CLOSE FILE - PAID IN FULL,1570
CLOSE FILE - PER CLIENT,1262
AAA-WITHDRAWN WITH PREJUDICE,1196
BILL SUBMITTED TO CARRIER,980
CLOSE FILE - PAID AFTER JUDGMENT VIA MARSHAL,943
CLOSE FILE - PAID PER ANGELO FEE SCHEDULE,761
CLOSE FILE - NO COVERAGE,735
NEW INTAKE - NEEDS TO BE REVIEWED FOR CLUSTERING,672
CLOSE FILE - DUPLICATE,617
AAA - WITHDRAWN WITHOUT PREJUDICE,506
CLOSE FILE - OUT OF STATE CARRIER,435
DISCONTINUED WITHOUT PREJUDICE,389
CLOSE FILE - PAID AFTER WINNING AAA DECISION,349
AAA - DISMISSED WITHOUT PREJUDICE - REVIEWED AND CLOSED,328
SETTLEMENT STIP - SIGNED STIP RECD,312
DECISION - MOTION - LOSS,310
TRIAL,283
CLOSE FILE - WORKERS COMP,278
CLOSE FILE - PAID AFTER WINNING DECISION,216
BILL RE-SUBMITTED TO CARRIER,214
AAA-WITHDRAWN WITHOUT PREJUDICE,209
DECISION - LOSS,208
CLOSE FILE - NO POLICY,203
DISCONTINUED - NEEDS TO BE RESUED,167
DISMISSED WITH PREJUDICE BY COURT,140
CARRIER IN LIQUIDATION,126
DISMISSED WITHOUT PREJUDICE BY COURT,120
CLOSE FILE - PER ANGELO,117
PAID IN FULL - NO INDEX,117
CLOSE FILE - PAID AFTER DECISION - PARTIAL WIN,116
SETTLED PER CLIENT IN BULK WITH PROGRESSIVE,116
AAA-DISMISSED WITHOUT PREJUDICE,87
CLOSED FILE - RETURNED TO CLIENT,81
CLOSED PAID AFTER DECISION,72
CLOSE FILE - SENT FILE BACK TO CLIENT,69
CLOSE FILE - SOL,66
CLOSE FILE - PAID AFTER JUDGMENT,58
WC - DECISION RECD - LOSS,49
"AAA - HEARING HELD, WAITING FOR AWARD",46
CLOSE FILE - POLICY CANCELLED,45
CLOSED,44
1st response to VR - Sent,42
CLOSE - NO NY JURISDICTION,41
CLOSE FILE - NOT COST EFFECTIVE,38
DISCONTINUED - ENTIRE INDEX#,37
DISCONTINUED - ENTIRE INDEX - WITH PREJUDICE,34
AAA - 412 RECEIVED,32
CLOSE FILE - PER JOAQUIN,32
